Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-07-14 15:30:00,"Morning Workout ",30m,"Incline Bench Press (Barbell)",1,29.48350405,5,0,0,"","",
2023-07-18 22:09:13,"Afternoon Workout",1h 6m,"Pull Up",2,11.33980925,3,0,0,,,
